id ;pg ;wilayah;lokasi
310;PG1;AW05;081AF1C
311;PG1;AW05;081AF1D
312;PG1;AW05;081AF1E
313;PG1;AW05;081AF1F
314;PG1;AW05;081AF1G
315;PG1;AW05;081AF1H
316;PG1;AW05;081AF1J
317;PG1;AW05;081AF1K
318;PG1;AW05;081AF1L
319;PG1;AW05;081AF1M
320;PG1;AW05;081AF1N
321;PG1;AW05;081AF1P
322;PG1;AW05;081AF1Q
323;PG1;AW05;081AF1R
324;PG1;AW05;081AF1S
325;PG1;AW05;081AF1T
326;PG1;AW05;081AF1U
327;PG1;AW05;081AF1V
328;PG1;AW05;081AF1W
329;PG1;AW05;081AF1X
330;PG1;AW05;081AF1Y
331;PG1;AW05;081AF1Z
332;PG1;AW05;081AF2A
333;PG1;AW05;081AF2B
334;PG1;AW05;081AF2C
335;PG1;AW05;081AF2D
336;PG1;AW05;081AF2E
337;PG1;AW05;081AF2F
338;PG1;AW05;081AF2G
339;PG1;AW05;081AF2H
340;PG1;AW05;081AF2J
341;PG1;AW05;081AF2K
342;PG1;AW05;081AF2L
343;PG1;AW05;081AF2M
344;PG1;AW05;081AF2N
345;PG1;AW05;081AF2P
346;PG1;AW05;081AF2Q
347;PG1;AW05;081AF2R
348;PG1;AW05;081AF2S
349;PG1;AW05;081AF2T
350;PG1;AW05;081AF2U
351;PG1;AW05;081AF2V
352;PG1;AW05;081AF2W
353;PG1;AW05;081AF2X
354;PG1;AW05;081AF2Y
355;PG1;AW05;081AF2Z
356;PG1;AW05;081AF3A
357;PG1;AW05;081AF3B
358;PG1;AW05;081AF3C
359;PG1;AW05;081AF3D
360;PG1;AW05;081AF3E
361;PG1;AW05;081AF3F
362;PG1;AW05;081AF3G
363;PG1;AW05;081AF3H
364;PG1;AW05;081AF3J
365;PG1;AW05;081AF3K
366;PG1;AW05;081AF3L
367;PG1;AW05;081AF3M
368;PG1;AW05;081AF3N
369;PG1;AW05;081AF3P
370;PG1;AW05;081AF3Q
371;PG1;AW05;081AF3R
372;PG1;AW05;081AF3S
373;PG1;AW05;081AF3T
374;PG1;AW05;081AF3U
375;PG1;AW05;081AF3V
376;PG1;AW05;081AF3W
377;PG1;AW05;081AF3X
378;PG1;AW05;081AF3Y
379;PG1;AW05;081AF3Z
380;PG1;AW05;081AF4A
381;PG1;AW05;081AF4B
